Instance,Algorithm,Parameters,Optimal Cost,Total Cost,Difference,Execution Time (s)
XML100_1111_07,Genetic Algorithm,"{'population_size': 100, 'generations': 150}",43143,14620.164785070758,-28522.83521492924,0.47631001472473145
XML100_1111_07,Genetic Algorithm,"{'population_size': 150, 'generations': 50}",43143,21091.368851300795,-22051.631148699205,0.243743896484375
XML100_1111_07,Genetic Algorithm,"{'population_size': 150, 'generations': 100}",43143,13655.138227055766,-29487.861772944234,0.3888051509857178
XML100_1111_07,Genetic Algorithm,"{'population_size': 150, 'generations': 150}",43143,5747.910924849127,-37395.08907515087,0.5403540134429932
XML100_1111_08,Genetic Algorithm,"{'population_size': 50, 'generations': 50}",30140,31483.6752744631,1343.6752744631012,0.09348082542419434
XML100_1111_08,Genetic Algorithm,"{'population_size': 50, 'generations': 100}",30140,23322.52740824461,-6817.4725917553915,0.16088199615478516
XML100_1111_08,Genetic Algorithm,"{'population_size': 50, 'generations': 150}",30140,24178.37830029799,-5961.621699702009,0.22807908058166504
XML100_1111_08,Genetic Algorithm,"{'population_size': 100, 'generations': 50}",30140,28036.342842710223,-2103.6571572897774,0.1620190143585205
XML100_1111_08,Genetic Algorithm,"{'population_size': 100, 'generations': 100}",30140,28281.24231852974,-1858.7576814702588,0.2990901470184326
XML100_1111_08,Genetic Algorithm,"{'population_size': 100, 'generations': 150}",30140,26868.25904605066,-3271.7409539493383,0.4450109004974365
XML100_1111_08,Genetic Algorithm,"{'population_size': 150, 'generations': 50}",30140,25406.568594284126,-4733.431405715874,0.2301490306854248
XML100_1111_08,Genetic Algorithm,"{'population_size': 150, 'generations': 100}",30140,23697.10514370252,-6442.89485629748,0.44092798233032227
XML100_1111_08,Genetic Algorithm,"{'population_size': 150, 'generations': 150}",30140,22713.27388056486,-7426.726119435141,0.6350059509277344
XML100_1111_09,Genetic Algorithm,"{'population_size': 50, 'generations': 50}",44883,40318.0922296013,-4564.907770398699,0.10031890869140625
XML100_1111_09,Genetic Algorithm,"{'population_size': 50, 'generations': 100}",44883,38127.880013640155,-6755.119986359845,0.17812299728393555
XML100_1111_09,Genetic Algorithm,"{'population_size': 50, 'generations': 150}",44883,4365.261046031498,-40517.7389539685,0.19528889656066895
XML100_1111_09,Genetic Algorithm,"{'population_size': 100, 'generations': 50}",44883,17036.349739886027,-27846.650260113973,0.16951203346252441
XML100_1111_09,Genetic Algorithm,"{'population_size': 100, 'generations': 100}",44883,15980.264698759214,-28902.735301240784,0.2984311580657959
XML100_1111_09,Genetic Algorithm,"{'population_size': 100, 'generations': 150}",44883,24424.59677923007,-20458.40322076993,0.4691436290740967
XML100_1111_09,Genetic Algorithm,"{'population_size': 150, 'generations': 50}",44883,11552.631523382608,-33330.36847661739,0.2319347858428955
XML100_1111_09,Genetic Algorithm,"{'population_size': 150, 'generations': 100}",44883,12405.854101995554,-32477.145898004448,0.40522122383117676
XML100_1111_09,Genetic Algorithm,"{'population_size': 150, 'generations': 150}",44883,18664.358762089847,-26218.641237910153,0.5378358364105225
XML100_1111_10,Genetic Algorithm,"{'population_size': 50, 'generations': 50}",33868,29792.591606137936,-4075.4083938620643,0.1001739501953125
XML100_1111_10,Genetic Algorithm,"{'population_size': 50, 'generations': 100}",33868,6040.911189547483,-27827.088810452515,0.15403294563293457
XML100_1111_10,Genetic Algorithm,"{'population_size': 50, 'generations': 150}",33868,18470.232050518498,-15397.767949481502,0.19606280326843262
XML100_1111_10,Genetic Algorithm,"{'population_size': 100, 'generations': 50}",33868,25320.176371991463,-8547.823628008537,0.170975923538208
XML100_1111_10,Genetic Algorithm,"{'population_size': 100, 'generations': 100}",33868,12516.618712735473,-21351.38128726453,0.27025485038757324
XML100_1111_10,Genetic Algorithm,"{'population_size': 100, 'generations': 150}",33868,6040.911189547483,-27827.088810452515,0.3638191223144531
XML100_1111_10,Genetic Algorithm,"{'population_size': 150, 'generations': 50}",33868,12874.472632649144,-20993.527367350856,0.24162697792053223
XML100_1111_10,Genetic Algorithm,"{'population_size': 150, 'generations': 100}",33868,9927.068449446693,-23940.93155055331,0.3975050449371338
XML100_1111_10,Genetic Algorithm,"{'population_size': 150, 'generations': 150}",33868,6040.911189547483,-27827.088810452515,0.5415890216827393
XML100_1111_11,Genetic Algorithm,"{'population_size': 50, 'generations': 50}",33202,32944.179961525886,-257.82003847411397,0.09246587753295898
XML100_1111_11,Genetic Algorithm,"{'population_size': 50, 'generations': 100}",33202,30603.575420289173,-2598.424579710827,0.1597740650177002
XML100_1111_11,Genetic Algorithm,"{'population_size': 50, 'generations': 150}",33202,31768.175311730793,-1433.8246882692074,0.22782397270202637
XML100_1111_11,Genetic Algorithm,"{'population_size': 100, 'generations': 50}",33202,22965.879266190226,-10236.120733809774,0.16054391860961914
XML100_1111_11,Genetic Algorithm,"{'population_size': 100, 'generations': 100}",33202,24516.803636823024,-8685.196363176976,0.2947850227355957
XML100_1111_11,Genetic Algorithm,"{'population_size': 100, 'generations': 150}",33202,28600.155711710348,-4601.8442882896525,0.42631983757019043
XML100_1111_11,Genetic Algorithm,"{'population_size': 150, 'generations': 50}",33202,26295.085697272076,-6906.914302727924,0.22862887382507324
XML100_1111_11,Genetic Algorithm,"{'population_size': 150, 'generations': 100}",33202,23392.865849877617,-9809.134150122383,0.4269828796386719
XML100_1111_11,Genetic Algorithm,"{'population_size': 150, 'generations': 150}",33202,26979.849466556956,-6222.150533443044,0.6262161731719971
XML100_1111_12,Genetic Algorithm,"{'population_size': 50, 'generations': 50}",33059,36394.64277904432,3335.6427790443195,0.0931239128112793
XML100_1111_12,Genetic Algorithm,"{'population_size': 50, 'generations': 100}",33059,28393.98993373241,-4665.01006626759,0.16063594818115234
XML100_1111_12,Genetic Algorithm,"{'population_size': 50, 'generations': 150}",33059,38410.12781415704,5351.1278141570365,0.22794795036315918
XML100_1111_12,Genetic Algorithm,"{'population_size': 100, 'generations': 50}",33059,37297.82248020873,4238.822480208728,0.1613750457763672
XML100_1111_12,Genetic Algorithm,"{'population_size': 100, 'generations': 100}",33059,32945.95768600191,-113.04231399809214,0.2955281734466553
